nombre_completo_cursada,profesores,enlace
Sistemas CAD Aplicados (3T7) (Plan 2003),HECTOR GERARDO BLASQUEZ; ROBERTO DI GIOVANNI; FRANCISCO DIEGO GARCIA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1371
Sistemas Digitales (Plan 2003),LUCIANA DE MICCO; GONZALO ROBERTO FONTANELLA; Nicolas Ariel Gutierrez; RAUL EDUARDO LOPRESTI; SERGIO GABRIEL LUVONI; JUAN IGNACIO PERRONE ORSI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1211
Sistemas Propulsivos I (Plan 2024),MARTIN CALDERA; FAVIO ALEJANDRO CAMILLETTI; RICARDO ANTONIO MARTINEZ; ARIEL LEONARDO STOCCHI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1752
Sistemas de Comunicaciones basados en Radio Definida por Software (Planes 2003-2010),JUAN ALBERTO ETCHEVERRY; BRIAN MAXIMILIANO GLUZMAN; ALEJANDRO JOSE URIZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1253
Sistemas de Información Geográficos y Teledetección,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1512
Sistemas de Representación en Plantas de Procesos (Plan 2024),ANTONIA CALVO; LUCIANO DÓMINE; IGNACIO DURRUTY; MARIA ALEJANDRA FRONTINI; SANDRA SILVIA GONZALEZ; ANTONELA BEATRIZ OROFINO; JULIETA FABIENNE UICICH,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1549
Taller de Formulación de proyectos,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1527
Taller de Ingeniería III (Plan 2024),MARIA VELIA ARTIGAS; VIVIANA PAOLA CYRAS; JULIETA DEL HOYO; PABLO ARIEL DELMONTE; MARIA GABRIELA GOÑI; LORENA PAOLA MANFREDI; CLAUDIO JAVIER PEREZ; MARIANINA PEREZ CENCI; MARIANO PRUDENTE; CAROLINA ROMIGLIO; DAIANA ROTELA; EZEQUIEL RODOLFO SOULE; MATIAS ANTONIO VALDIVIA GOITIA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1542
Taller de Programación II (Plan 2010),FERNANDO JAVIER GENIN; CRISTIAN ARIEL REMON,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1288
Taller de Tesis (OBLIGATORIA),,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1507
Taller: Desarrollo de habilidades en emprendedores tecnológicos para la formulación de proyectos,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1526
Tecnología CAD Aplicada (ING3101) (Plan 2024),HECTOR GERARDO BLASQUEZ; ROBERTO DI GIOVANNI; FRANCISCO DIEGO GARCIA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1734
Tecnología Electrónica (Plan 2024),LEONARDO JOSE ARNONE; NOELIA INES ECHEVERRIA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1715
Tecnología de Control (Ing. Industrial),David Crovo; IGNACIO SANTIAGO GARRONE; JOSE ISAAC MELIAN; RICARDO JAVIER ZUCAL,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1739
Tecnología de la Fundición (Plan 2003),DIEGO OMAR FERNANDINO; IÑAKI ANDRES GALARRETA; MATIAS RAFAEL MARTINEZ GAMBA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1199
Tecnología de los Materiales (Plan 2024) / Materiales Industriales (Plan 2003),VERA ALEJANDRA ALVAREZ; MARIA ANDREA CAMERUCCI; GASTON MARTIN FRANCUCCI; MARIA JOSE GALANTE; MARCOS NAHUEL MOLINE; VALERIA PETTARIN; AGUSTIN EMILIO SISAMON,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1350
Tecnologías Emergentes 1: Nanotecnología y Materiales Avanzados - 3ra Cohorte,FRANCISCO JOSE ALVAREZ; VERA ALEJANDRA ALVAREZ; NOELIA BAJALES LUNA; Alicia Gallo,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1690
Tecnologías Emergentes 2: Industrias 4.0,LUCÍA ISABEL PASSONI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1724
Teledetección y Sistemas de Información Geográficos (Plan 2003),CARLOS ALBERTO AGUERO; DANIEL ORLANDO ANAUT,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1390
Teoría de Control (Plan 2003),ROGELIO ADRIAN GARCIA RETEGUI; JORGE LUIS GATTI; MARCOS GABRIEL JUDEWICZ; WALTER PEDRO KLOSTER,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1214
Termodinámica Alias 1 (Plan 2003),FERNANDO RUBÉN BOLLINI; SEBASTIAN BONANNI; AGUSTINA BELEN LEONARDI; IARA PUGLIA; JUAN PABLO TOMBA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1316
Termodinámica Alias 2 (Ingeniería en Alimentos) (Plan 2003),MARIA ALEJANDRA AYUDE; MARINA CZERNER; ROMINA DI IORIO; AILIN MATEOS; WALTER FABIAN SCHROEDER,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1304
Termodinámica I (Plan 2024),FERNANDO RUBÉN BOLLINI; SEBASTIAN BONANNI; MALENA ERIKA SZPYRNAL; JUAN PABLO TOMBA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1675
Termodinámica II (Plan 2024),Bianca Bietti Managó; FERNANDO RUBÉN BOLLINI; SEBASTIAN BONANNI; MALENA ERIKA SZPYRNAL; JUAN PABLO TOMBA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1708
Termodinámica de Alimentos II (Plan 2024),MARINA CZERNER; AILIN MATEOS; WALTER FABIAN SCHROEDER,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1710
"Termodinámica para Ingeniería Mecánica (ING2203), Termodinámica (232)",Juan Valentin Odriozola; DIEGO HERNAN SANTIAGO; MATIAS JOSE VALLELUNGA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1186
Trabajo Final (Planes 2003 y 2024),SILVANA VALERIA ASMUSSEN; VALERIA PETTARIN,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1344
Trabajo Final de Ingeniería Informática,VALERIA ALEJANDRA DI CROCE; LEONEL DOMINGO GUCCIONE; CARLOS ALBERTO RICO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1284
Transformadores: su Cálculo y Construcción (3M5) (Plan 2003),JUSTO JOSÉ ROBERTS; ISRAEL JOAQUIN SANCHEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1392
Transmisión de la Energía Eléctrica (Plan 2003),GUILLERMO FABIAN DI MAURO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1387
"Tribología, Fricción, Desgaste y Lubricación (Plan 2024) / Tribología (Plan 2003)",RICARDO CESAR DOMMARCO; MARIA PAULA GONZALEZ; ALEJO DANIEL MANDRI; MATIAS RAFAEL MARTINEZ GAMBA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1193
Técnicas de Análisis Fisicoquímicos (Plan 2024),SILVESTRE MANUEL BONGIOVANNI ABEL; MARTINA D`ORSO; YANINA BELEN FARIAS; CRISTINA ELENA HOPPE; JOSEFA FABIANA MARTUCCI; ANDRES PEPE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1726
Técnicas neutrónicas y de raxos X aplicadas al estudio de materia blanda y nanomateriales,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1408
Técnicas y Dispositivos Digitales (Plan 2024) / Técnicas y Dispositivos Digitales II (Plan 2003),MARIA CELESTE CEBEDIO; LUCIANA DE MICCO; JUAN IGNACIO PERRONE ORSI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1227
UCAP GPA,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1477
Vehículos Automotores (Plan 2003),MARTIN CALDERA; FAVIO ALEJANDRO CAMILLETTI; RICARDO ANTONIO MARTINEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1191
Vibraciones Mecánicas (Plan 2024) / Dinámica del Sólido (Plan 2003),GUSTAVO EDUARDO CARR; HERNAN GUILLERMO KUNERT; ENRIQUE PARDO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1179
Área de Gestión DII,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1450
