nombre_completo_cursada,profesores,enlace
E01 - Fisiología Ambiental y del Trabajo,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1467
E02 - Radiofísica Sanitaria,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1464
E03 - Contaminación del Ambiente de Trabajo,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1463
E04 - Ruídos y Vibraciones,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1461
E05 - Ventilación,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1458
E06 - Tratamiento de Efluentes y Desechos,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1457
E07 - Riesgo Eléctrico,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1456
E08 - Iluminación,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1455
E09 - Teoría de la Prevención de Accidentes y Educación para la Seguridad,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1454
E10 - Organización para la Seguridad,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1453
E11 - Prevención de Incendios y Explosiones,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1466
E12 - Toxicología,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1465
E13 - Riesgos Mecánicos y Seguridad en la Construcción,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1462
E14 - Legislación,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1460
E15 - Gestión de la Calidad,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1459
E16 - Trabajo Final de CEHYST,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1468
EVALUACIÓN CUARTO NIVEL DE INGLÉS,SANDRA SILVIA GONZALEZ; Fiorela María LUNGHI; FLORENCIA ELIANA VASQUE; Omar Gustavo Zabaleta,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1158
Economía Emprendedora y Solidaria,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1470
Economía Social y Solidaria para el Desarrollo Regional,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1472
Economía para Ingeniería(Plan 2024) - Economía General (Plan 2003),FEDERICO CAMINO; PABLO ARIEL DELMONTE; ALBERTO MANUEL LOPEZ; CAROLINA MONTAÑA (Administración DII),https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1442
Electrotecnia 1 (3E1) (Plan 2003),GUSTAVO OSCAR BELLISKI; GABRIEL ERCORECA; GUSTAVO LUIS FERRO; JUSTO JOSÉ ROBERTS; GUILLERMO NICOLAS SANTINI; MARTIN NAHUEL SERNA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1366
Electrotecnia 3 (3E3) (Plan 2003),GABRIEL ERCORECA; GUSTAVO LUIS FERRO; JUSTO JOSÉ ROBERTS,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1384
Electrotecnia B (ING3202) (Plan 2024),GABRIEL ERCORECA; JUSTO JOSÉ ROBERTS,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1590
Electrotecnia C (ING3203) (Plan 2024),GABRIEL ERCORECA; GUSTAVO LUIS FERRO; JUAN FRANCISCO MARTINEZ; JUSTO JOSÉ ROBERTS,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1574
Electrotecnia General (3E4) (Plan 2003),GUSTAVO LUIS FERRO; RAUL EDUARDO LOPRESTI,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1385
Electrónica Aplicada (Plan 2024) / Circuitos Electrónicos I (Plan 2003),JULIAN ANTONACCI; CLAUDIO MARCELO GONZALEZ; MARIANO DAMIAN MOREL,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1234
Electrónica Digital (Plan 2024) / Técnicas y Dispositivos Digitales I (Plan 2003),MARIA CELESTE CEBEDIO; LUCIANA DE MICCO; LUCAS ANDRES RABIOGLIO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1224
Elementos de Máquinas (Plan 2024),Gonzalo Martín Bascones; ROBERTO RAFAEL FERNANDEZ; ISAIAS VIDAL; RICARDO JAVIER ZUCAL,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1684
Energía Eólica,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1499
Energía Eólica,ROBERTO RAFAEL FERNANDEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1730
Energía Fotovoltaica,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1498
"Energía Solar Térmica para ACS, nivel 1",,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1728
"Energía Solar Térmica para ACS, nivel 2",ROBERTO RAFAEL FERNANDEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1729
Energías Alternativas Termomecánicas (Plan 2003),ROBERTO RAFAEL FERNANDEZ; ISAIAS VIDAL; RICARDO JAVIER ZUCAL,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1201
"Energías Renovables, su conocimiento y utilización",ROBERTO RAFAEL FERNANDEZ,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1727
Equipo de Apoyo Curricular,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1152
Estrategias de Selección de Materiales,,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1482
Estrategias para Productos de Software (Optativa) (Plan 2024),SRECKO ESTANISLAO MILETA; PEDRO FERNANDO SORIANO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1746
Estructura y Organización de Datos (Plan 2024),VALERIA ALEJANDRA DI CROCE; HERNAN HINOJAL; Franco Kühn; AUGUSTO MALETTA; CARLOS ALBERTO RICO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1707
Estática I (Plan 2024) / Mecánica del Continuo (Plan 2003),Abigail Araujo; MIRCO DANIEL CHAPETTI; STEFANIA D'AMICO; HERNAN GUILLERMO KUNERT; Matthäus Davi POPOV PEREIRA DA CUNHA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1174
Exploración de Datos para Inteligencia Competitiva (8804) / Introducción a la Ciencia de Datos (8520),ALEJANDRA MARIA ESTEBAN; CAROLINA MONTAÑA (Administración DII); JOSE IGNACIO NICOLAO GARCIA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1429
Fenómenos de Transporte,GABRIELA CLARISA CAMPOS; MIRIAM SUSANA CASTRO; FLORENCIA MONTINI BALLARIN; AGUSTIN EMILIO SISAMON,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1334
Filtros Analógicos (Plan 2024) / Teoría de Redes II (Plan 2003),ESTEFANY GABRIELA CUJANO AYALA; MARCELO NICOLAS GUZMAN; ADRIANA GABRIELA SCANDURRA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1239
Fisicoquímica II (Plan 2024),ROMINA DI IORIO; MARIA VICTORIA FERRARO; GIANINA  ANDREA KLOSTER; LUCIANA MALBOS; MARIA DE LA PAZ MIGUEL; LUCIA YOHAI DEL CERRO,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1665
Fluidodinámica (Plan 2024),AGUSTIN EMILIO SISAMON,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1749
Fundamentos de Comunicaciones Digitales (Planes 2024 y 2010),JORGE CASTIÑEIRA MOREIRA; MATIAS NICOLAS HADAD,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1231
Fundamentos de Metalurgia Física (Plan 2024),LUIS EDUARDO JAVIER AMATO; LISANDRO ESCALADA,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1743
Fundamentos de Nanotecnología Aplicada a Materiales,GUSTAVO ABEL ABRAHAM; SILVESTRE MANUEL BONGIOVANNI ABEL; Raúl Ariel Procaccini,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1612
Fundamentos de Química - Alias 1 - 2do cuatrimestre (Plan 2024),YANINA BELEN FARIAS; MARIA PAULA GIACOMINI; LUCAS PAN; MARIA FLORENCIA SILVA BARNI; MARIA VICTORIA URANGA WASSERMANN; MARIA BEATRIZ VALCARCE,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1554
Fundamentos de Química - Alias 2 - 2do Cuatrimestre 2026 (Plan 2024),PABLO MARTIN BOTTA; Ana Divito; LILIANA BEATRIZ MANFREDI; Raúl Ariel Procaccini; MARIA LAURA SANDOVAL; Ruth Schmarsow,https://ingenieria.campus.mdp.edu.ar/course/view.php?id=1706
